          Wells Dam Bull Trout for 01/01/1998 to 04/28/2026        ,,,
Species,Location,Date,Size
Bull Trout,East Ladder,05/16/2015  2:25:00 PM,23
Bull Trout,East Ladder,05/16/2015  3:04:00 PM,25
Bull Trout,West Ladder,05/16/2015  4:29:00 PM,22
Bull Trout,East Ladder,05/16/2015  7:07:00 PM,20
Bull Trout,East Ladder,05/18/2015  8:55:00 AM,23
Bull Trout,West Ladder,05/18/2015  4:37:00 PM,25
Bull Trout,East Ladder,05/18/2015  5:01:00 PM,24.5
Bull Trout,East Ladder,05/18/2015  5:41:00 PM,23
Bull Trout,East Ladder,05/19/2015  9:58:00 AM,26
Bull Trout,West Ladder,05/19/2015  3:14:00 PM,23.5
Bull Trout,East Ladder,05/20/2015 12:53:00 PM,24.5
Bull Trout,West Ladder,05/20/2015  2:55:00 PM,21
Bull Trout,East Ladder,05/20/2015  3:24:00 PM,23
Bull Trout,East Ladder,05/20/2015  7:54:00 PM,26
Bull Trout,East Ladder,05/20/2015  8:44:00 PM,16
Bull Trout,West Ladder,05/21/2015 10:08:00 AM,23
Bull Trout,West Ladder,05/21/2015 12:36:00 PM,24
Bull Trout,West Ladder,05/21/2015  4:15:00 PM,25
Bull Trout,East Ladder,05/22/2015  2:19:00 PM,25
Bull Trout,West Ladder,05/22/2015  2:32:00 PM,26
Bull Trout,West Ladder,05/23/2015  1:00:00 PM,26
Bull Trout,East Ladder,05/23/2015  1:25:00 PM,26
Bull Trout,East Ladder,05/23/2015  3:42:00 PM,23
Bull Trout,East Ladder,05/23/2015  5:15:00 PM,23
Bull Trout,East Ladder,05/23/2015  5:15:00 PM,22
Bull Trout,West Ladder,05/23/2015  6:50:00 PM,19
Bull Trout,West Ladder,05/23/2015  9:57:00 PM,27
Bull Trout,East Ladder,05/24/2015  3:37:00 PM,19
Bull Trout,East Ladder,05/25/2015 12:46:00 PM,23
Bull Trout,East Ladder,05/25/2015  9:25:00 PM,26
Bull Trout,West Ladder,05/26/2015  1:48:00 AM,23
