tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
3D9.1C2D60D034,CGS10123.WL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/3/2010,WELFBY - WEL - Release into the Forebay within 0.5 km upstream of Dam,6/3/2010,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,600,1
3D9.1C2D61E1B8,CGS11132.EL2,CGS - Charles Snow Projects,WEL - Wells Dam,5/12/2011,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/22/2011,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,520,1
3D9.1C2D61F26F,CGS11132.WL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/12/2011,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/2/2011,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,510,1
3D9.1C2D625BC4,CGS11132.WL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/12/2011,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/1/2011,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,670,1
3D9.1C2D6FC397,CGS12135.EL2,CGS - Charles Snow Projects,WEL - Wells Dam,5/14/2012,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/19/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,600,1
3D9.1C2D83A75A,CGS13127.EL1,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/7/2013,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/20/2013,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,530,1
3D9.1C2D92679B,CGS13127.WL1,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/7/2013,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/30/2013,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,490,1
3D9.1C2D92715E,CGS13127.WL1,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/7/2013,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/31/2013,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,560,1
3D9.1C2D92A2D3,CGS13127.WL1,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/7/2013,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/30/2013,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,600,1
3D9.1C2D92A381,CGS13127.WL1,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/7/2013,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/21/2013,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,760,1
