tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
3DD.003DE596E9,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/23/2021,METHR - Methow River,11/23/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,240,1
3DD.003DE596EE,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/21/2021,METHR - Methow River,11/21/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,232,1
3DD.003DE5970C,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/21/2021,METHR - Methow River,11/21/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,219,1
3DD.003DE59714,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/21/2021,METHR - Methow River,11/21/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,236,1
3DD.003DE597AA,CGS-2021-077-001.xml,CGS - Charles Snow Projects,CHERBT - Chewuch River Bridge Rotary Screw Trap,3/24/2021,CHERBT - Chewuch River Bridge Rotary Screw Trap,3/24/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,196,1
3DD.003DE5985C,CGS-2022-041-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,5/18/2022,METRWT - Upper Methow River Rotary Screw Trap,5/18/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,174,1
3DD.003DE59CCE,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/19/2021,METHR - Methow River,11/19/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,182,1
3DD.003DE59D04,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/20/2021,METHR - Methow River,11/20/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,241,1
3DD.003DE59D0D,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,12/4/2021,METHR - Methow River,12/4/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,204,1
3DD.003DE59D0E,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/24/2021,METHR - Methow River,11/24/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,207,1
3DD.003DE59D10,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,12/3/2021,METHR - Methow River,12/3/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,230,1
3DD.003DE59D18,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/29/2021,METHR - Methow River,11/29/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,205,1
